2022-09-22 14:08:18.095 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - Starting AdminApplication on liujinhui with PID 21728 (D:\工作用\dbswitch-master\dbswitch-admin\target\classes started by liujinhui in D:\工作用\dbswitch-master)
2022-09-22 14:08:18.140 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - No active profile set, falling back to default profiles: default
2022-09-22 14:08:24.592 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2022-09-22 14:08:24.818 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 198ms. Found 0 JDBC repository interfaces.
2022-09-22 14:08:25.333 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.gitee.dbswitch.admin]' package. Please check your configuration.
2022-09-22 14:08:27.451 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9088 (http)
2022-09-22 14:08:27.479 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9088"]
2022-09-22 14:08:27.481 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-22 14:08:27.483 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2022-09-22 14:08:27.907 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-22 14:08:27.909 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 9164 ms
2022-09-22 14:08:30.370 [main] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
2022-09-22 14:08:30.377 [main] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: main
2022-09-22 14:08:30.407 [main] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2022-09-22 14:08:30.407 [main] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.3.2 created.
2022-09-22 14:08:30.438 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-09-22 14:08:31.086 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-09-22 14:08:31.123 [main] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - Using db table-based data access locking (synchronization).
2022-09-22 14:08:31.133 [main] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - JobStoreCMT initialized.
2022-09-22 14:08:31.136 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'DBSwitch-Quartz-Scheduler' with instanceId 'liujinhui1663826910376'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 20 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is clustered.

2022-09-22 14:08:31.136 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DBSwitch-Quartz-Scheduler' initialized from an externally provided properties instance.
2022-09-22 14:08:31.137 [main] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.3.2
2022-09-22 14:08:31.137 [main] INFO  org.quartz.core.QuartzScheduler - JobFactory set to: com.gitee.dbswitch.admin.config.QuartzConfig$AutowiringSpringBeanJobFactory@f1266c6
2022-09-22 14:08:33.515 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-09-22 14:08:33.904 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2022-09-22 14:08:33.907 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2022-09-22 14:08:33.909 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2022-09-22 14:08:33.911 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2022-09-22 14:08:34.276 [main] INFO  org.flywaydb.core.internal.license.VersionPrinter - Flyway Community Edition 6.4.4 by Redgate
2022-09-22 14:08:34.350 [main] INFO  o.flywaydb.core.internal.database.DatabaseFactory - Database: jdbc:mysql://172.16.5.162:3306/dbswitch (MySQL 8.0)
2022-09-22 14:08:34.814 [main] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 6 migrations (execution time 00:00.232s)
2022-09-22 14:08:34.917 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema `dbswitch`: 1.0.5
2022-09-22 14:08:34.924 [main] INFO  org.flywaydb.core.internal.command.DbMigrate - Schema `dbswitch` is up to date. No migration necessary.
2022-09-22 14:08:35.806 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9088"]
2022-09-22 14:08:35.940 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9088 (http) with context path ''
2022-09-22 14:08:39.099 [main] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Starting Quartz Scheduler now
2022-09-22 14:08:39.185 [main] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:08:39.186 [main] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:08:39.213 [main] INFO  org.quartz.core.QuartzScheduler - Scheduler DBSwitch-Quartz-Scheduler_$_liujinhui1663826910376 started.
2022-09-22 14:08:39.256 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - Started AdminApplication in 25.889 seconds (JVM running for 34.174)
2022-09-22 14:08:46.824 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:08:46.825 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:08:53.047 [http-nio-9088-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-22 14:08:53.048 [http-nio-9088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-22 14:08:53.080 [http-nio-9088-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 32 ms
2022-09-22 14:08:54.250 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:08:54.250 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:01.745 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:01.745 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:09.356 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:09.357 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:16.926 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:16.926 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:24.486 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:24.487 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:32.051 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:32.052 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:39.558 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:39.561 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:47.052 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:47.052 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:09:54.681 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:09:54.681 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:10:02.291 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:10:02.291 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:10:09.759 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:10:09.760 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:10:17.292 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
